	SNP	Chromosome	Position	trait1
1	ENSG00000001617	3	50192477	0.787218476167586
2	ENSG00000001626	7	117120016	0.696880972715037
3	ENSG00000001631	7	91828282	0.838185388777019
4	ENSG00000002822	7	1855429	0.434627798336679
5	ENSG00000003756	3	50126340	0.0627759123791835
6	ENSG00000004534	3	49977439	0.20359936626964
7	ENSG00000004838	3	50378540	0.143071272793327
8	ENSG00000004866	7	116593291	0.373861117610837
9	ENSG00000005339	16	3775054	0.067275882026204
10	ENSG00000006327	16	3068445	0.0055400139940613
11	ENSG00000007168	17	2496503	0.536932800746454
12	ENSG00000007372	11	31806339	0.7313176485894
13	ENSG00000007968	1	23832921	0.253621217759827
14	ENSG00000008226	3	38080695	0.00123881663272953
15	ENSG00000008710	16	2138710	0.575268131221595
16	ENSG00000008853	8	22844929	0.451054771329608
17	ENSG00000010017	6	13621729	0.769568964387461
18	ENSG00000010610	12	6896023	0.00192964490963483
19	ENSG00000010671	23	100604434	0.0303670618819793
20	ENSG00000011465	12	91539024	0.423692190745436
21	ENSG00000012048	17	41196311	0.0607889117984809
22	ENSG00000012171	3	50304989	0.502543200788577
23	ENSG00000012223	3	46477135	0.0104698169672687
24	ENSG00000012232	8	28480245	0.770238696621695
25	ENSG00000013016	2	31456879	0.976620151667731
26	ENSG00000013588	12	13043715	0.00470873132984663
27	ENSG00000014123	6	96969683	0.906964152650343
28	ENSG00000015171	10	180404	0.00599892021182748
29	ENSG00000017427	12	102789644	0.199181875449339
30	ENSG00000019485	11	45115563	0.0633342135409562
31	ENSG00000019505	11	45261851	0.0435237982104346
32	ENSG00000020633	1	25226001	0.428923178442331
33	ENSG00000022267	23	135229558	0.649497500480418
34	ENSG00000023191	11	494511	0.810562028922604
35	ENSG00000023287	8	53535015	0.0263241589447483
36	ENSG00000023902	1	150121372	0.370056430417958
37	ENSG00000026025	10	17270257	0.483797617245276
38	ENSG00000026103	10	90750413	0.465965509949067
39	ENSG00000026508	11	35160416	0.28615058626973
40	ENSG00000028203	12	95611521	0.00739913562644572
41	ENSG00000030419	2	213864428	0.0354030584818853
42	ENSG00000032742	13	21140584	0.0430378415632428
43	ENSG00000033800	15	68346516	0.457581641690856
44	ENSG00000035664	15	64199234	0.131476121762411
45	ENSG00000039068	16	68771127	0.169222022643356
46	ENSG00000040199	16	71671737	0.191664299177371
47	ENSG00000042493	2	85621870	0.999388421606971
48	ENSG00000043514	1	40306722	0.17182614186321
49	ENSG00000044524	3	89156673	0.194209885320913
50	ENSG00000049759	18	55711598	0.126257401034836
51	ENSG00000049768	23	49106896	0.393395500780227
52	ENSG00000050165	11	11984652	0.178909880988837
53	ENSG00000050405	12	50569570	0.694728852959167
54	ENSG00000050748	5	179660142	0.567561568948023
55	ENSG00000054523	1	10270862	0.849134692288495
56	ENSG00000054598	6	1610680	0.391962890629853
57	ENSG00000055130	7	148395005	0.129775584316986
58	ENSG00000055609	7	151832009	0.022117796654968
59	ENSG00000057657	6	106534194	0.503447268274544
60	ENSG00000060339	10	70480970	0.302866969703575
61	ENSG00000061337	8	20103675	0.00449791332291731
62	ENSG00000063169	19	48111452	0.798534465585949
63	ENSG00000063438	5	304290	0.0395304626502106
64	ENSG00000064012	2	202098165	0.727057135115141
65	ENSG00000064201	11	2323226	0.205608243689554
66	ENSG00000064300	17	47572654	0.79544861354694
67	ENSG00000064393	7	139246315	0.414858598998385
68	ENSG00000065559	17	11924140	0.239046347497875
69	ENSG00000066336	11	47376410	0.500590166293378
70	ENSG00000067066	2	231280656	0.609454629915794
71	ENSG00000067082	10	3818187	0.875376461035229
72	ENSG00000067369	15	43699406	0.317665720997994
73	ENSG00000067560	3	49396577	0.26348651236699
74	ENSG00000068028	3	50367218	0.820395742766971
75	ENSG00000068903	19	39369196	0.110232623051652
76	ENSG00000069702	1	92145901	0.08066660578247
77	ENSG00000069869	15	56119119	0.116837296594368
78	ENSG00000070019	12	14765575	0.835908992512854
79	ENSG00000070444	17	2287353	0.963993749540324
80	ENSG00000071242	6	166822851	0.240957713463969
81	ENSG00000071243	7	120590802	0.00164429552275625
82	ENSG00000071564	19	1609290	0.572451341370843
83	ENSG00000071794	3	148747913	0.0306716569699974
84	ENSG00000072133	23	83318983	0.959224791965484
85	ENSG00000072609	12	133416936	0.946723797947097
86	ENSG00000072786	5	171469076	0.710120325684942
87	ENSG00000072952	11	10594637	0.401745912804429
88	ENSG00000073150	22	50609159	0.0190991910992534
89	ENSG00000073282	3	189349204	0.7770161807753
90	ENSG00000073578	5	218355	0.806975635258407
91	ENSG00000073614	12	389294	0.700623483424863
92	ENSG00000074181	19	15270443	0.0477053383707226
93	ENSG00000074211	4	6324670	0.0292689462704792
94	ENSG00000074266	11	85955585	0.53428577369211
95	ENSG00000074319	11	18489882	0.341144171401811
96	ENSG00000074590	12	106457117	0.000612824790052008
97	ENSG00000075391	1	178062863	0.0208287763128169
98	ENSG00000075651	3	171318194	0.913287417462114
99	ENSG00000075711	3	196769430	0.598269535167985
100	ENSG00000075785	3	128444964	0.00559099172889952
101	ENSG00000076201	3	47422500	0.813892144926769
102	ENSG00000076242	3	37035338	0.606049186412944
103	ENSG00000076864	1	21922707	0.88359152839166
104	ENSG00000077092	3	25215822	0.840901837346905
105	ENSG00000077254	1	78161671	0.202434971062761
106	ENSG00000077463	19	4174105	0.154107315842749
107	ENSG00000077942	22	45898117	0.526254940329097
108	ENSG00000078304	14	102228134	0.753405855629963
109	ENSG00000078725	9	121928907	0.997181951752851
110	ENSG00000078900	1	3569083	0.670040507631037
111	ENSG00000079112	8	95139398	0.0130124830796372
112	ENSG00000079246	2	216972186	0.0946996856172304
113	ENSG00000079257	3	158363610	0.963205354649905
114	ENSG00000079385	19	43011455	0.0292587887866394
115	ENSG00000079432	19	42772688	0.487669445679296
116	ENSG00000080503	9	2015341	0.00335012895842958
117	ENSG00000080839	20	35624751	0.112677239717902
