	SNP	Chromosome	Position	trait1
1	ENSG00000005339	16	3775054	0.067275882026204
2	ENSG00000012048	17	41196311	0.0607889117984809
3	ENSG00000039068	16	68771127	0.169222022643356
4	ENSG00000047410	1	186280783	0.0585343731636182
5	ENSG00000047932	6	117639373	0.00356466327252914
6	ENSG00000047936	6	117609462	0.0096386550569467
7	ENSG00000065559	17	11924140	0.239046347497875
8	ENSG00000066455	14	93260575	0.156552279413589
9	ENSG00000066468	10	123237847	0.000551411325752712
10	ENSG00000069399	19	45250961	0.76411502365194
11	ENSG00000071564	19	1609290	0.572451341370843
12	ENSG00000076242	3	37035338	0.606049186412944
13	ENSG00000077150	10	104153866	0.568227867633789
14	ENSG00000077782	8	38268655	0.43626205084845
15	ENSG00000083093	16	23614487	0.589156796698878
16	ENSG00000083799	16	50775960	0.0193155999177692
17	ENSG00000089280	16	31191430	0.856589233433245
18	ENSG00000091483	1	241660902	0.579247835216859
19	ENSG00000095002	2	47630107	0.0937220275661372
20	ENSG00000096968	9	4985085	0.000372311497235003
21	ENSG00000097007	9	133589332	0.498193290373909
22	ENSG00000099956	22	24129149	0.0500428254363117
23	ENSG00000100311	22	39619363	0.179191571457513
24	ENSG00000100721	14	96176303	8.66577480350256e-05
25	ENSG00000103197	16	2097465	0.208296829253343
26	ENSG00000105221	19	40736223	0.619498915707213
27	ENSG00000105810	7	92234234	0.0244243195102095
28	ENSG00000105976	7	116312445	0.113406882214033
29	ENSG00000107779	10	88516406	0.468981000171516
30	ENSG00000107807	10	102889256	0.0653752289301908
31	ENSG00000107882	10	104263743	0.138032139012185
32	ENSG00000108654	17	62495733	0.000987956931962333
33	ENSG00000109471	4	123372624	0.0210215554954352
34	ENSG00000109670	4	153242409	0.100283401638055
35	ENSG00000110092	11	69455854	0.953617351782427
36	ENSG00000110367	11	118620033	0.0374589559066681
37	ENSG00000110619	11	3022151	0.000879493848472585
38	ENSG00000110713	11	3696239	0.0857565878741141
39	ENSG00000112576	6	41902671	0.566979369503757
40	ENSG00000113916	3	187439164	0.651948983602306
41	ENSG00000114354	3	100428204	6.93952038516019e-05
42	ENSG00000114423	3	105374304	0.424668022352197
43	ENSG00000114861	3	71003843	0.591019942110523
44	ENSG00000117118	1	17345216	0.473525592920731
45	ENSG00000117400	1	43803477	0.0722528572621393
46	ENSG00000118046	19	1189405	0.0583091169310387
47	ENSG00000118260	2	208394460	0.818219342358459
48	ENSG00000118503	6	138188350	0.751623258010621
49	ENSG00000118513	6	135502452	0.685038160406868
50	ENSG00000118971	12	4382937	0.000445557268616142
51	ENSG00000119508	9	102584136	0.560429241127194
52	ENSG00000119866	2	60678301	0.435906273921622
53	ENSG00000121879	3	178865901	0.0841171491334478
54	ENSG00000122025	13	28577410	0.000143791188917175
55	ENSG00000123080	1	51426416	0.582636112671617
56	ENSG00000123268	12	51157492	0.0481784246500764
57	ENSG00000124795	6	18224098	0.155443897394233
58	ENSG00000125618	2	113973573	0.890939163505304
59	ENSG00000126883	9	134000947	0.0632002099591598
60	ENSG00000127152	14	99635623	0.00686507229454397
61	ENSG00000127616	19	11071597	0.361384401766926
62	ENSG00000128602	7	128828712	0.360114286550615
63	ENSG00000129204	17	5019732	0.21106488982411
64	ENSG00000129993	16	88941265	0.0228173746108547
65	ENSG00000132155	3	12625099	0.519239707661242
66	ENSG00000132170	3	12328866	0.241909907638651
67	ENSG00000133703	12	25357722	0.339647933869135
68	ENSG00000133895	11	64570981	0.148118311117277
69	ENSG00000134086	3	10182691	0.773256366055044
70	ENSG00000134323	2	16080685	0.300321910920966
71	ENSG00000134574	11	47236492	0.00181168832049448
72	ENSG00000134982	5	112043194	0.460871355315669
73	ENSG00000135363	11	33880121	0.000144268685323655
74	ENSG00000135679	12	69201955	0.587407545036817
75	ENSG00000136997	8	128747679	0.0447950577558016
76	ENSG00000137193	6	37137978	0.0270422045372298
77	ENSG00000137265	6	391738	0.0763481892965841
78	ENSG00000137309	6	34204649	0.00036088893518732
79	ENSG00000138413	2	209100950	0.14141949120074
80	ENSG00000139083	12	11802787	0.381337341490288
81	ENSG00000139618	13	32889610	0.104664968719548
82	ENSG00000139687	13	48877886	0.140010806691851
83	ENSG00000140464	15	74287013	0.240384269120412
84	ENSG00000140937	16	64977655	0.00600286664119351
85	ENSG00000141380	18	23596577	0.257369144257318
86	ENSG00000141510	17	7565096	0.0686341529426585
87	ENSG00000141736	17	37844166	0.425642294628033
88	ENSG00000142208	14	105235685	0.786697527471809
89	ENSG00000142273	19	45281125	0.9828813664674
90	ENSG00000143322	1	179068461	3.99261852065509e-06
91	ENSG00000146648	7	55086713	0.286298379002358
92	ENSG00000147257	23	132669772	0.330622066343109
93	ENSG00000148400	9	139388895	0.512080797641822
