,TE.fixed,lower.fixed,upper.fixed,pval.fixed,TE.random,lower.random,upper.random,pval.random,I2,Tau2,H,Q,symbol
ENSG00000203740.3,1.02695793543671,1.01755191353621,1.0364509044962,1.45956334395215e-08,1.02795294887028,1.0165982226655,1.03943449981695,1.14590669316698e-06,0.238407330281473,0.000162343341262847,1.1458786357503,28.8868326531174,METTL11B
ENSG00000185432.11,0.890668653587185,0.861778891646208,0.920526898689094,5.89576250941614e-12,0.877275991332917,0.81079711288116,0.949205606115615,0.00112791525984348,0.763725319984437,0.0220973233746102,2.0572705452234,93.1119661173633,METTL7A
ENSG00000037897.15,1.1025019559084,1.04731662323587,1.1605951207251,0.000195682647830646,1.10711527842378,1.03429353717774,1.18506419663409,0.00337572307318126,0.232807304159641,0.00529099791834359,1.14168887795511,28.675976869021,METTL1
ENSG00000145388.13,0.779713753979233,0.705292156873292,0.861988230295333,1.16414058036066e-06,0.790569514658154,0.663392596878866,0.942127121175807,0.00863520289561229,0.589470644345066,0.0890710458366522,1.56073040551419,53.5893467713228,METTL14
ENSG00000127720.6,0.894919141973485,0.828806633648275,0.966305333664152,0.00457834054199017,0.896521521781254,0.820179181305534,0.979969813105463,0.0161481253735925,0.173323841509709,0.0076234597587852,1.09984704843178,26.6125976587704,METTL25
ENSG00000206562.10,1.19483698812893,1.07997728337444,1.32191246073279,0.000556449267581592,1.20923169423118,1.01400867372609,1.44204021939975,0.0344453488775202,0.582240388922063,0.0877603223205455,1.54716550832071,52.6618644230203,METTL6
ENSG00000138382.12,1.1447928683429,1.05471100315519,1.24256854009128,0.001221480281564,1.13373632854136,0.994523210846916,1.29243646466517,0.0604079733971779,0.509674241194561,0.043114714156225,1.42809679815067,44.8681302275404,METTL5
ENSG00000127804.11,0.931791303312356,0.852842195548728,1.01804886936898,0.117826256526986,0.894580404610379,0.772678280376051,1.03571450193137,0.136102509700635,0.54214102939953,0.0573012490607332,1.47786286398955,48.0497301847064,METTL16
ENSG00000123600.17,1.08313551531865,1.00294717310227,1.16973513262494,0.0418557214819936,1.11134354507537,0.967067618729231,1.27714386384238,0.136757262821575,0.616274162040764,0.058786467883512,1.61431944651811,57.3326000589439,METTL8
ENSG00000170439.6,1.03097837352109,1.00771643373769,1.05477728762024,0.00878967372939344,1.02587235890846,0.988159480677813,1.06502454042187,0.181333054476245,0.518905725243586,0.00350343945046543,1.44173322075163,45.7290829560152,METTL7B
ENSG00000144401.13,1.08383219577769,1.00273278740961,1.17149079331385,0.0424849475459104,1.09130231905873,0.956234235685,1.24544876886763,0.194942565346349,0.558197681984063,0.0473667985654818,1.50447856635354,49.7960266455786,METTL21A
ENSG00000169519.18,0.915944308921304,0.837850363457928,1.00131719652522,0.0534813917058591,0.918766974048608,0.80320089866466,1.05096091651021,0.216732545941397,0.45967321579649,0.0416812482988674,1.36041606520987,40.7161011505842,METTL15
ENSG00000101574.13,0.936384197329825,0.866539673877307,1.01185830428944,0.0965323381617906,0.940684957997851,0.852939705601196,1.03745690860962,0.22098105324597,0.262903888626184,0.0133003848222198,1.16476400209488,29.8468539726738,METTL4
ENSG00000165055.14,0.927923883380751,0.850014627481615,1.01297401892891,0.0945507113213117,0.936652075300097,0.82218503329073,1.0670555588352,0.32509366218684,0.44658419695983,0.0382399978052472,1.34423197530858,39.753111275724,METTL2B
ENSG00000087995.14,1.06134662654782,0.967923733283616,1.16378659077096,0.205344236393238,1.07383518496596,0.910961755174119,1.26582921612387,0.395988674642409,0.593052026913568,0.0768564851086796,1.56758303652653,54.060964680926,METTL2A
ENSG00000165792.16,0.966119852572695,0.896626885370707,1.04099886448216,0.365477355239425,0.95499108790424,0.858466233915413,1.06236907399014,0.396937821461142,0.389120356851572,0.0220708392477845,1.27944662636731,36.0136407338992,METTL17
ENSG00000165819.10,0.950094575327198,0.878720517587651,1.02726598958255,0.198853655827745,0.955307632199725,0.843982699176203,1.08131680072332,0.469518863581136,0.495828263891029,0.0372597511615896,1.40835049990981,43.6359248731169,METTL3
ENSG00000181038.12,1.0620623153838,0.973176267553156,1.15906686112933,0.176939134377381,1.04839539475593,0.902947502023168,1.21727221270639,0.535119231178051,0.575984444233152,0.0638380064578471,1.53570962118664,51.8848888933148,METTL23
ENSG00000171806.10,0.979999310707518,0.908308142459611,1.05734893709809,0.602196828879348,0.980552356906188,0.907475556440873,1.05951385446152,0.619190518811682,0.0230402014169211,0.000838974255994473,1.01172307063645,22.5188385764772,METTL18
ENSG00000197006.12,1.00022562577352,0.915277319779455,1.09305811564859,0.996024980854122,0.979528006650161,0.828784487402759,1.15768952049143,0.808316553225726,0.629057254258071,0.0829855806072726,1.64189945551153,59.3083440841994,METTL9
ENSG00000067365.13,1.03703694981627,0.956940628947456,1.12383736540388,0.375207997214011,1.00314967860175,0.87458701424695,1.15061081548903,0.964154469643763,0.559024050063722,0.0507691890560639,1.50588756741095,49.8893420450232,METTL22
ENSG00000053328.8,0.994668862228871,0.981777075896443,1.00772993154714,0.421923052564653,0.999932002129222,0.97865378435183,1.02167285803158,0.995056115119282,0.492464485555624,0.0010438911829485,1.40367569949463,43.3467203257381,METTL24
