TF_name	TSS	Binding_site	Action type	SRAID_PMID	Evidence	Tissue	Species
AML1-ETO	chr19: 13836659	chr19: 13836921-13837242(score=878)	Regulation	SRX259613	level 1	Blood	H.sapiens
AML1-ETO	chr19: 13836659	chr19: 13836956-13837215(score=456)	Regulation	SRX259614	level 1	Blood	H.sapiens
AR	chr19: 13836659	chr19: 13840517-13840716(score=712)	Regulation	SRX250092	level 1	Breast	H.sapiens
ARNTL	chr19: 13836659	chr19: 13841364-13841576(score=397)	Regulation	SRX666557	level 1	Breast	H.sapiens
BCL6	chr19: 13836659	chr19: 13836931-13837175(score=876)	Regulation	SRX689470	level 1	Blood	H.sapiens
BCL6	chr19: 13836659	chr19: 13836981-13837150(score=578)	Regulation	SRX656346	level 1	Blood	H.sapiens
BRD1	chr19: 13836659	chr19: 13841225-13841388(score=248)	Regulation	SRX286203	level 1	Digestive tract	H.sapiens
BRD4	chr19: 13836659	chr19: 13835804-13835989(score=308)	Regulation(feedback)	SRX1134746	level 1	Blood	H.sapiens
BRD4	chr19: 13836659	chr19: 13839017-13839322(score=630)	Regulation(feedback)	SRX204905	level 1	Blood	H.sapiens
BRD4	chr19: 13836659	chr19: 13839034-13839225(score=353)	Regulation(feedback)	SRX204903	level 1	Blood	H.sapiens
BRD7	chr19: 13836659	chr19: 13840596-13840709(score=450)	Regulation	SRX017557	level 1	Epidermis	H.sapiens
CDK8	chr19: 13836659	chr19: 13840565-13840724(score=384)	Regulation	SRX149660	level 1	Digestive tract	H.sapiens
CEBPA	chr19: 13836659	chr19: 13835793-13836044(score=775)	Regulation	SRX2245499	level 1	Blood	H.sapiens
CEBPA	chr19: 13836659	chr19: 13835876-13835974(score=378)	Regulation	SRX097095	level 1	Blood	H.sapiens
CEBPB	chr19: 13836659	chr19: 13835802-13836011(score=484)	Regulation	SRX2245500	level 1	Blood	H.sapiens
CREB1	_	_	Activation	23019365	literature	_	H.sapiens
CTCF	chr19: 13836659	chr19: 13836787-13836884(score=642)	Regulation	SRX381545	level 1	Blood	H.sapiens
CTCF	chr19: 13836659	chr19: 13840563-13840734(score=767)	Regulation	SRX103007	level 1	Breast	H.sapiens
CTCF	chr19: 13836659	chr19: 13840573-13840729(score=832)	Regulation	SRX188955	level 1	Breast	H.sapiens
CTCF	chr19: 13836659	chr19: 13840574-13840702(score=452)	Regulation	SRX103008	level 1	Breast	H.sapiens
CTCF	chr19: 13836659	chr19: 13840586-13840703(score=519)	Regulation	SRX103004	level 1	Breast	H.sapiens
CTCF	chr19: 13836659	chr19: 13840592-13840714(score=603)	Regulation	SRX188952	level 1	Breast	H.sapiens
CTCF	chr19: 13836659	chr19: 13840513-13840760(score=658)	Regulation	SRX1594218	level 1	Kidney	H.sapiens
CTCFL	chr19: 13836659	chr19: 13840562-13840715(score=405)	Regulation	SRX1091822	level 1	Gonad	H.sapiens
E2F1	chr19: 13836659	chr19: 13839012-13839353(score=480)	Regulation	SRX2585781	level 1	Breast	H.sapiens
E2F1	chr19: 13836659	chr19: 13840439-13840835(score=767)	Regulation	SRX150556	level 1	Breast	H.sapiens
E2F1	chr19: 13836659	chr19: 13840464-13840701(score=359)	Regulation	SRX2585781	level 1	Breast	H.sapiens
E2F6	chr19: 13836659	chr19: 13839096-13839201(score=436)	Regulation	SRX100514	level 1	Blood	H.sapiens
EGR1	chr19: 13842918	chr19: 13842874-13843074(score=396)	Regulation	SRX100459	level 2	Blood	H.sapiens
EGR1	_	_	Regulation	20811575	literature	_	H.sapiens
ELF1	chr19: 13836659	chr19: 13836961-13837115(score=521)	Regulation	SRX100541	level 1	Blood	H.sapiens
ELF1	chr19: 13836659	chr19: 13839086-13839265(score=994)	Regulation	SRX100539	level 1	Blood	H.sapiens
ELF1	chr19: 13836659	chr19: 13839091-13839244(score=468)	Regulation	SRX100541	level 1	Blood	H.sapiens
EP300	chr19: 13836659	chr19: 13835726-13836086(score=1000)	Regulation	SRX265233	level 1	Blood	H.sapiens
EP300	chr19: 13836659	chr19: 13835798-13835993(score=736)	Regulation	SRX747574	level 1	Blood	H.sapiens
EP300	chr19: 13836659	chr19: 13835805-13836021(score=581)	Regulation	SRX1514284	level 1	Blood	H.sapiens
EP300	chr19: 13836659	chr19: 13835819-13836009(score=1000)	Regulation	ERX378364	level 1	Blood	H.sapiens
EP300	chr19: 13836659	chr19: 13836904-13837240(score=1000)	Regulation	SRX265233	level 1	Blood	H.sapiens
EP300	chr19: 13836659	chr19: 13837001-13837139(score=356)	Regulation	ERX378364	level 1	Blood	H.sapiens
EP300	chr19: 13836659	chr19: 13835676-13835946(score=802)	Regulation	SRX1012647	level 1	Breast	H.sapiens
EP300	chr19: 13836659	chr19: 13835680-13835908(score=520)	Regulation	SRX1012649	level 1	Breast	H.sapiens
EP300	chr19: 13836659	chr19: 13835689-13835951(score=626)	Regulation	SRX1012644	level 1	Breast	H.sapiens
EP300	chr19: 13836659	chr19: 13835703-13835915(score=617)	Regulation	SRX1012648	level 1	Breast	H.sapiens
EP300	chr19: 13836659	chr19: 13839641-13839888(score=387)	Regulation	SRX190219	level 1	Neural	H.sapiens
EP300	chr19: 13836659	chr19: 13839688-13839920(score=1000)	Regulation	SRX100540	level 1	Neural	H.sapiens
EP300	chr19: 13836659	chr19: 13839701-13839917(score=521)	Regulation	SRX186631	level 1	Neural	H.sapiens
EP300	chr19: 13836659	chr19: 13840560-13840738(score=487)	Regulation	SRX190215	level 1	Uterus	H.sapiens
EPAS1	_	_	Activation(feedback)	24517586	literature	_	H.sapiens
